,size,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,reconstruction_error
layers.0.self_attn.q_proj.weight,"[4096, 4096]",21.83099556,0.119695552,815.2878287,1104,0.26953125,4.308402061
layers.0.self_attn.k_proj.weight,"[4096, 4096]",18.5958786,0.135079563,909.4659634,983,0.239990234,4.072249413
layers.0.self_attn.v_proj.weight,"[4096, 4096]",4.031841278,0.242066592,1759.238954,2332,0.569335938,21.29304123
layers.0.self_attn.o_proj.weight,"[4096, 4096]",4.386460781,0.160088316,1141.969826,2374,0.579589844,13.94946384
layers.0.mlp.gate_proj.weight,"[11008, 4096]",11.77065468,0.802753747,5360.6196,3139,0.766357422,63.48739624
layers.0.mlp.up_proj.weight,"[11008, 4096]",10.58347511,0.809674859,5364.666486,3145,0.767822266,64.41418457
layers.0.mlp.down_proj.weight,"[4096, 11008]",8.896803856,0.945112288,5904.798851,3229,0.788330078,75.04968262
layers.1.self_attn.q_proj.weight,"[4096, 4096]",18.42098427,0.39104259,2938.658526,1561,0.381103516,23.96521568
layers.1.self_attn.k_proj.weight,"[4096, 4096]",20.14679337,0.385842621,2856.132223,1460,0.356445313,22.23578262
layers.1.self_attn.v_proj.weight,"[4096, 4096]",3.262158632,0.262684613,1778.143995,2488,0.607421875,23.79776573
layers.1.self_attn.o_proj.weight,"[4096, 4096]",3.869750261,0.204215556,1425.890011,2382,0.581542969,19.42883301
layers.1.mlp.gate_proj.weight,"[11008, 4096]",14.16161537,0.870984793,5903.714877,3101,0.757080078,69.24111176
layers.1.mlp.up_proj.weight,"[11008, 4096]",7.377152443,0.91269505,5912.912914,3153,0.769775391,73.50800323
layers.1.mlp.down_proj.weight,"[4096, 11008]",6.657755852,1.092264891,6303.551486,3314,0.809082031,83.18903351
layers.2.self_attn.q_proj.weight,"[4096, 4096]",16.2221756,0.592658639,3962.017446,2020,0.493164063,48.09513474
layers.2.self_attn.k_proj.weight,"[4096, 4096]",19.20553398,0.619813979,4115.950274,1974,0.481933594,49.31596375
layers.2.self_attn.v_proj.weight,"[4096, 4096]",3.535521984,0.42296356,2703.326927,2631,0.642333984,38.13597488
layers.2.self_attn.o_proj.weight,"[4096, 4096]",6.020191193,0.429443836,2680.653124,2668,0.651367188,38.97619247
layers.2.mlp.gate_proj.weight,"[11008, 4096]",10.61984444,1.027937651,6396.141685,3225,0.787353516,78.84702301
layers.2.mlp.up_proj.weight,"[11008, 4096]",4.544019222,1.021297455,6189.338462,3248,0.79296875,79.04479218
layers.2.mlp.down_proj.weight,"[4096, 11008]",5.67345047,1.128559351,6397.645645,3320,0.810546875,85.15270996
layers.3.self_attn.q_proj.weight,"[4096, 4096]",13.41968632,0.638501763,4241.662409,2348,0.573242188,56.12817001
layers.3.self_attn.k_proj.weight,"[4096, 4096]",15.32383823,0.671737432,4436.374138,2328,0.568359375,59.1703186
layers.3.self_attn.v_proj.weight,"[4096, 4096]",3.072585821,0.415597677,2603.485436,2652,0.647460938,37.31637955
layers.3.self_attn.o_proj.weight,"[4096, 4096]",6.354206085,0.407135814,2544.824272,2650,0.646972656,36.7396965
layers.3.mlp.gate_proj.weight,"[11008, 4096]",9.85562706,1.15041101,6771.820402,3287,0.802490234,87.51137543
layers.3.mlp.up_proj.weight,"[11008, 4096]",4.344289303,1.102285981,6373.976328,3303,0.806396484,84.0418396
layers.3.mlp.down_proj.weight,"[4096, 11008]",6.360035419,1.069001555,6301.323261,3284,0.801757813,81.37947083
layers.4.self_attn.q_proj.weight,"[4096, 4096]",13.79111767,0.650791466,4376.036479,2363,0.576904297,56.8681221
layers.4.self_attn.k_proj.weight,"[4096, 4096]",15.75439262,0.675239921,4506.361938,2355,0.574951172,59.18154526
layers.4.self_attn.v_proj.weight,"[4096, 4096]",3.102711201,0.438218623,2751.494895,2666,0.650878906,39.34593201
layers.4.self_attn.o_proj.weight,"[4096, 4096]",5.823876858,0.430626571,2694.927354,2664,0.650390625,38.79938889
layers.4.mlp.gate_proj.weight,"[11008, 4096]",10.92127132,1.175392985,6904.282487,3295,0.804443359,89.04051208
layers.4.mlp.up_proj.weight,"[11008, 4096]",4.294732571,1.106116295,6344.329035,3316,0.809570313,83.8380127
layers.4.mlp.down_proj.weight,"[4096, 11008]",6.287213326,1.060730219,6232.783089,3287,0.802490234,80.50852966
layers.5.self_attn.q_proj.weight,"[4096, 4096]",13.73753834,0.660348356,4448.885543,2396,0.584960938,58.07669449
layers.5.self_attn.k_proj.weight,"[4096, 4096]",16.54254913,0.69046104,4643.638351,2385,0.582275391,60.88284302
layers.5.self_attn.v_proj.weight,"[4096, 4096]",2.997070551,0.450112134,2821.976571,2649,0.646728516,40.5748024
layers.5.self_attn.o_proj.weight,"[4096, 4096]",5.656042576,0.43631196,2745.384022,2638,0.644042969,39.43258667
