,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
layers.0.self_attn.q_proj.weight,"[4096, 4096]",0.72265625,-0.7734375,-3.02E-06,21.83099556,0.119695552,815.2878287,1104,0.26953125,0.33,675,0.000778382,10.67660376,4.308402061
layers.0.self_attn.k_proj.weight,"[4096, 4096]",0.703125,-0.81640625,8.61E-06,18.5958786,0.135079563,909.4659634,983,0.239990234,0.33,675,0.000735118,7.917495327,4.072249413
layers.0.self_attn.v_proj.weight,"[4096, 4096]",0.134765625,-0.124023438,4.80E-07,4.031841278,0.242066592,1759.238954,2332,0.569335938,0.33,675,0.00410381,50.99973878,21.29304123
layers.0.self_attn.o_proj.weight,"[4096, 4096]",0.416015625,-0.451171875,-1.59E-06,4.386460781,0.160088316,1141.969826,2374,0.579589844,0.33,675,0.002700909,54.75362204,13.94946384
layers.0.mlp.gate_proj.weight,"[11008, 4096]",0.7265625,-0.890625,-1.51E-05,11.77065468,0.802753747,5360.6196,3139,0.766357422,0.33,985,0.007506908,57.86701361,63.48739624
layers.0.mlp.up_proj.weight,"[11008, 4096]",0.314453125,-0.341796875,-3.21E-07,10.58347511,0.809674859,5364.666486,3145,0.767822266,0.33,985,0.007614158,59.42182259,64.41418457
layers.0.mlp.down_proj.weight,"[4096, 11008]",0.52734375,-0.51171875,-2.00E-06,8.896803856,0.945112288,5904.798851,3229,0.788330078,0.33,985,0.00888995,66.72222943,75.04968262
layers.1.self_attn.q_proj.weight,"[4096, 4096]",0.47265625,-0.408203125,-4.03E-06,18.42098427,0.39104259,2938.658526,1561,0.381103516,0.33,675,0.00447703,25.56922579,23.96521568
layers.1.self_attn.k_proj.weight,"[4096, 4096]",0.57421875,-0.51953125,-2.34E-06,20.14679337,0.385842621,2856.132223,1460,0.356445313,0.33,675,0.004108703,23.25148705,22.23578262
layers.1.self_attn.v_proj.weight,"[4096, 4096]",0.107910156,-0.127929688,1.53E-06,3.262158632,0.262684613,1778.143995,2488,0.607421875,0.33,675,0.004562277,61.5027284,23.79776573
layers.1.self_attn.o_proj.weight,"[4096, 4096]",0.58984375,-0.494140625,8.84E-08,3.869750261,0.204215556,1425.890011,2382,0.581542969,0.33,675,0.003640124,63.17146538,19.42883301
layers.1.mlp.gate_proj.weight,"[11008, 4096]",0.9765625,-1.09375,-3.19E-05,14.16161537,0.870984793,5903.714877,3101,0.757080078,0.33,985,0.00819517,56.88141577,69.24111176
layers.1.mlp.up_proj.weight,"[11008, 4096]",0.294921875,-0.40625,2.90E-06,7.377152443,0.91269505,5912.912914,3153,0.769775391,0.33,985,0.008704209,63.84861207,73.50800323
layers.1.mlp.down_proj.weight,"[4096, 11008]",1.5625,-1.421875,1.26E-06,6.657755852,1.092264891,6303.551486,3314,0.809082031,0.33,985,0.009867009,71.29560778,83.18903351
layers.2.self_attn.q_proj.weight,"[4096, 4096]",1.1015625,-0.75390625,7.38E-06,16.2221756,0.592658639,3962.017446,2020,0.493164063,0.33,675,0.008829094,45.27131317,48.09513474
layers.2.self_attn.k_proj.weight,"[4096, 4096]",0.373046875,-0.345703125,6.95E-07,19.20553398,0.619813979,4115.950274,1974,0.481933594,0.33,675,0.009002749,44.91438293,49.31596375
layers.2.self_attn.v_proj.weight,"[4096, 4096]",0.147460938,-0.127929688,-6.43E-07,3.535521984,0.42296356,2703.326927,2631,0.642333984,0.33,675,0.007392623,65.20233148,38.13597488
layers.2.self_attn.o_proj.weight,"[4096, 4096]",0.515625,-0.60546875,-2.78E-06,6.020191193,0.429443836,2680.653124,2668,0.651367188,0.33,675,0.0075512,68.87219861,38.97619247
layers.2.mlp.gate_proj.weight,"[11008, 4096]",0.41796875,-0.52734375,1.37E-05,10.61984444,1.027937651,6396.141685,3225,0.787353516,0.33,985,0.009351256,62.70667594,78.84702301
layers.2.mlp.up_proj.weight,"[11008, 4096]",0.455078125,-0.310546875,3.00E-06,4.544019222,1.021297455,6189.338462,3248,0.79296875,0.33,985,0.009374855,67.40199142,79.04479218
layers.2.mlp.down_proj.weight,"[4096, 11008]",0.8984375,-0.66796875,-7.53E-07,5.67345047,1.128559351,6397.645645,3320,0.810546875,0.33,985,0.010106346,72.20010188,85.15270996
layers.3.self_attn.q_proj.weight,"[4096, 4096]",0.78125,-0.6875,-8.36E-06,13.41968632,0.638501763,4241.662409,2348,0.573242188,0.33,675,0.010517138,55.66331708,56.12817001
layers.3.self_attn.k_proj.weight,"[4096, 4096]",0.32421875,-0.41015625,5.27E-06,15.32383823,0.671737432,4436.374138,2328,0.568359375,0.33,675,0.011051497,56.81189482,59.1703186
layers.3.self_attn.v_proj.weight,"[4096, 4096]",0.138671875,-0.114257813,1.08E-06,3.072585821,0.415597677,2603.485436,2652,0.647460938,0.33,675,0.007217712,67.29217462,37.31637955
layers.3.self_attn.o_proj.weight,"[4096, 4096]",0.470703125,-0.5390625,-6.91E-06,6.354206085,0.407135814,2544.824272,2650,0.646972656,0.33,675,0.00710567,67.92616938,36.7396965
layers.3.mlp.gate_proj.weight,"[11008, 4096]",0.578125,-0.451171875,-4.19E-06,9.85562706,1.15041101,6771.820402,3287,0.802490234,0.33,985,0.010379481,68.67535828,87.51137543
layers.3.mlp.up_proj.weight,"[11008, 4096]",0.50390625,-0.451171875,3.95E-06,4.344289303,1.102285981,6373.976328,3303,0.806396484,0.33,985,0.009969736,71.18930013,84.0418396
layers.3.mlp.down_proj.weight,"[4096, 11008]",0.68359375,-0.66796875,5.16E-06,6.360035419,1.069001555,6301.323261,3284,0.801757813,0.33,985,0.009655353,68.80240802,81.37947083
layers.4.self_attn.q_proj.weight,"[4096, 4096]",0.63671875,-0.67578125,1.80E-06,13.79111767,0.650791466,4376.036479,2363,0.576904297,0.33,675,0.010729898,53.8005888,56.8681221
layers.4.self_attn.k_proj.weight,"[4096, 4096]",0.51171875,-0.30859375,1.35E-05,15.75439262,0.675239921,4506.361938,2355,0.574951172,0.33,675,0.011133937,55.28109725,59.18154526
layers.4.self_attn.v_proj.weight,"[4096, 4096]",0.118652344,-0.142578125,-3.10E-06,3.102711201,0.438218623,2751.494895,2666,0.650878906,0.33,675,0.007632174,67.04841109,39.34593201
layers.4.self_attn.o_proj.weight,"[4096, 4096]",0.52734375,-0.62109375,-6.55E-07,5.823876858,0.430626571,2694.927354,2664,0.650390625,0.33,675,0.007528665,67.67630004,38.79938889
layers.4.mlp.gate_proj.weight,"[11008, 4096]",0.44921875,-0.51953125,-4.81E-06,10.92127132,1.175392985,6904.282487,3295,0.804443359,0.33,985,0.010555523,68.58827588,89.04051208
layers.4.mlp.up_proj.weight,"[11008, 4096]",0.353515625,-0.478515625,4.51E-06,4.294732571,1.106116295,6344.329035,3316,0.809570313,0.33,985,0.009943446,71.52633138,83.8380127
layers.4.mlp.down_proj.weight,"[4096, 11008]",0.80859375,-0.9765625,5.50E-07,6.287213326,1.060730219,6232.783089,3287,0.802490234,0.33,985,0.009545228,68.85202489,80.50852966
layers.5.self_attn.q_proj.weight,"[4096, 4096]",0.640625,-0.59375,-7.13E-06,13.73753834,0.660348356,4448.885543,2396,0.584960938,0.33,675,0.011021608,54.50844869,58.07669449
layers.5.self_attn.k_proj.weight,"[4096, 4096]",0.333984375,-0.33203125,4.84E-06,16.54254913,0.69046104,4643.638351,2385,0.582275391,0.33,675,0.011531089,55.42060471,60.88284302
layers.5.self_attn.v_proj.weight,"[4096, 4096]",0.166992188,-0.265625,6.61E-06,2.997070551,0.450112134,2821.976571,2649,0.646728516,0.33,675,0.007840027,67.42315869,40.5748024
layers.5.self_attn.o_proj.weight,"[4096, 4096]",0.4453125,-0.52734375,-1.67E-07,5.656042576,0.43631196,2745.384022,2638,0.644042969,0.33,675,0.00762859,67.01667592,39.43258667
layers.5.mlp.gate_proj.weight,"[11008, 4096]",0.3359375,-0.443359375,-2.14E-05,12.34131813,1.166697502,6904.097371,3288,0.802734375,0.33,985,0.010484803,67.89474154,88.51722717
layers.5.mlp.up_proj.weight,"[11008, 4096]",0.423828125,-0.490234375,3.06E-06,4.456430435,1.101844549,6337.246297,3315,0.809326172,0.33,985,0.009913906,71.33302048,83.60577393
layers.5.mlp.down_proj.weight,"[4096, 11008]",0.5625,-0.734375,9.29E-07,6.439071655,1.048555374,6218.337069,3271,0.798583984,0.33,985,0.009489483,68.40254221,80.05879974
layers.6.self_attn.q_proj.weight,"[4096, 4096]",0.61328125,-0.578125,6.79E-07,12.29848099,0.600097299,4138.914013,2412,0.588867188,0.33,675,0.010043245,53.38783747,52.85107803
layers.6.self_attn.k_proj.weight,"[4096, 4096]",0.30859375,-0.263671875,1.79E-06,14.57286835,0.622294605,4267.778973,2417,0.590087891,0.33,675,0.010457873,54.83641163,55.08569717
layers.6.self_attn.v_proj.weight,"[4096, 4096]",0.27734375,-0.287109375,5.55E-07,3.002666712,0.406199127,2586.94419,2633,0.642822266,0.33,675,0.007102895,65.99910867,36.69836426
layers.6.self_attn.o_proj.weight,"[4096, 4096]",0.53515625,-0.60546875,-1.45E-06,5.766997814,0.392946392,2524.172612,2611,0.637451172,0.33,675,0.006915942,65.15016778,35.69392014
