,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
encoder.layer.0.attention.self.query.weight,"[768, 768]",0.45409947633743286,-0.5249173641204834,3.558379830792546e-05,4.985123157501221,0.5076968669891357,625.8881907463074,472,0.6145833333333334,0.5,192,0.016255440190434456,48.17391105625895,15.733381271362305
encoder.layer.0.attention.self.key.weight,"[768, 768]",0.8334630131721497,-0.7098265886306763,4.959386842529057e-06,6.082370281219482,0.5039507150650024,622.9564576745033,474,0.6171875,0.5,192,0.016287527978420258,49.13130914489733,15.775224685668945
encoder.layer.0.attention.self.value.weight,"[768, 768]",0.19317074120044708,-0.16439175605773926,-3.3003136195475236e-05,2.2254467010498047,0.3634287714958191,437.79946610331535,487,0.6341145833333334,0.5,192,0.011860193684697151,52.28066588665148,11.481043815612793
encoder.layer.0.attention.output.dense.weight,"[768, 768]",0.5869761109352112,-0.49465838074684143,-2.073558971460443e-05,2.828512191772461,0.34128057956695557,422.0543733537197,486,0.6328125,0.5,192,0.011052858084440231,50.37449209181092,10.685253143310547
encoder.layer.0.intermediate.dense.weight,"[3072, 768]",0.32221561670303345,-0.2978421151638031,-3.043880315090064e-05,12.811607360839844,1.2099924087524414,1300.5143945217133,626,0.8151041666666666,0.5,307,0.015947217121720314,53.85235093685298,30.87797737121582
encoder.layer.0.output.dense.weight,"[768, 3072]",0.7699131965637207,-1.6790950298309326,-8.50341166369617e-05,7.1629862785339355,1.2121278047561646,1287.059346318245,630,0.8203125,0.5,307,0.016132377088069916,57.82102235478125,31.260353088378906
encoder.layer.1.attention.self.query.weight,"[768, 768]",0.3042333424091339,-0.3893543779850006,-0.00029593592626042664,4.488303184509277,0.5167043209075928,625.2145603895187,478,0.6223958333333334,0.5,192,0.01667196676135063,49.79948221456204,16.153234481811523
encoder.layer.1.attention.self.key.weight,"[768, 768]",0.3608516752719879,-0.3605247437953949,2.72575252893148e-05,5.840445041656494,0.5013951659202576,613.2549352049828,474,0.6171875,0.5,192,0.015984833240509033,47.94726321316578,15.468659400939941
encoder.layer.1.attention.self.value.weight,"[768, 768]",0.19265544414520264,-0.213004931807518,7.1435952122556046e-06,2.5526134967803955,0.3502042889595032,427.67895340919495,489,0.63671875,0.5,192,0.011510156095027924,51.522465687294236,11.132530212402344
encoder.layer.1.attention.output.dense.weight,"[768, 768]",0.36102530360221863,-0.3103193938732147,2.9250351872178726e-05,2.4848668575286865,0.3427293300628662,417.8199094235897,486,0.6328125,0.5,192,0.01108251791447401,51.53266391502744,10.727277755737305
encoder.layer.1.intermediate.dense.weight,"[3072, 768]",0.5060412883758545,-0.3095530867576599,9.177094761980698e-05,12.474617958068848,1.284867763519287,1364.0113213062286,626,0.8151041666666666,0.5,307,0.016768114641308784,54.10879239709544,32.470027923583984
